watershed,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,Habitat.L.0..S.1,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
comida,4.36,5.64,12.1,2.07,9.04,2.68,10.9,3.03,4.67,5.17,16.18,8.26,5.81,22.08,893.06,49.75,11.49,3.64,3.4,4.82,4.84,2.6,9.38,6.37,4.46,3.16,0,1.71,48.28,8.26,7,8.3,8,21,21,0.91,0.86,0.81,3.35
comida,5,5.26,12.04,1.76,9.36,2.92,9.14,2.24,3.3,4.06,13.42,6.48,4.97,17.75,546.39,45.5,10.59,2.92,2.11,3.36,4.36,2.46,8.89,6.08,3.86,2.78,0,1.13,44.57,7.19,6,6.74,6,18,18,0.74,0.67,0.66,3.17
comida,4.02,4.89,10.46,1.32,7.62,2.47,8.11,1.94,2.91,3.56,11.6,6.14,4.63,17.23,522.9,39.87,8.6,2.34,1.93,2.92,3.57,2.13,8.41,5.62,3.36,2.4,0,0.74,39.36,6.42,10,6.62,12,18,18,0.73,0.69,0.63,4.05
comida,5.28,5.67,14.09,2.05,8.37,2.9,11.25,2.64,3.88,4.61,15.25,8.24,6.23,23.04,928.25,51.68,11.01,3.59,2.9,4.65,5.35,3.27,11.41,7.63,4.1,3.04,0,1.83,50.52,5.55,8,8.51,7,18,18,0.71,0.68,0.65,2.99
comida,4.21,5.05,9.19,1.57,7.62,2.64,8.57,2.3,3.14,3.69,11.58,5.72,4.15,16.02,437.26,38.59,8.89,2.28,1.64,3.23,3.58,2.02,7.55,5.07,3.37,2.53,0,0.72,37.34,4.9,8,4.83,7,20,20,0.71,0.65,0.69,4.39
comida,7.27,7.16,16.54,2.8,13.09,3.89,14.37,4.36,6.57,5.85,21.04,11.28,8.33,29.95,1573.22,63.5,14.97,3.97,3.14,5.37,6.1,4.82,13.01,8.74,5.84,3.91,0,3.32,60.6,10.02,8,9.7,8,21,21,1.31,1.33,1.33,2.33
comida,5.15,5.38,11.12,1.83,8.73,1.92,8.68,2.56,3.59,4.18,13.06,7.39,5.34,19.45,632.23,43.53,9.47,2.51,2.16,3.2,3.75,2.62,9.36,6.05,3.87,2.79,0,0.97,42.57,7.4,7,7.27,7,21,21,0.95,0.86,0.86,3.46
comida,4.9,5.42,14.52,2.36,11.11,3.19,11.55,2.73,4.73,5.26,16.69,9.99,6.01,25,1099.35,54,12.42,3.81,2.96,4.94,4.8,3.61,11.49,7.95,4.71,3.4,0,2.07,51.61,8.33,7,8.43,8,21,21,1.07,0.95,0.96,3.07
comida,4.53,5.58,14.4,2.26,10.4,3.37,11.39,3.02,5.18,4.95,17.04,9.28,6.96,24.64,1052.41,53.91,12.33,3.42,2.61,4.28,5.03,3.77,11.39,7.7,4.9,3.32,0,1.97,51.81,8.07,6,7.77,6,20,20,0.94,1.16,1.1,2.57
comida,4.08,NA,11.45,1.84,10.34,2.6,9.48,1.87,3.59,4.28,13.55,6.31,4.83,17.38,525.45,45.94,10.26,2.82,2.23,3.28,4.03,2.55,9.37,6.24,3.94,2.79,0,1.16,45.11,6.78,6,6.88,6,20,20,1,1,1.04,3.61
comida,4.56,4.89,11.4,2.04,8.27,3.08,10.27,2.76,4.05,5.17,15.3,9.07,5.24,22.75,935.54,48.34,11.25,3.33,2.86,4.35,4.85,2.93,9.44,6.19,4.32,3.02,0,1.52,46.75,7.16,7,7.28,7,20,20,0.92,0.82,0.82,2.96
comida,5.46,6.29,15.2,2.82,13.76,3.8,12.09,2.91,4.84,5.88,18.24,10.51,6.86,27.2,1359.26,60.13,13.64,3.92,2.75,4.49,5.51,3.1,11.1,7.35,4.71,3.2,0,2.35,59.7,9.02,6,8.97,6,21,19 two along bottom left; count confirmed,1.37,1.32,1.26,2.35
comida,5.55,6.29,14.45,2.24,11.4,3.77,13.5,3.41,5.21,5.6,18.38,10.49,7.04,27.44,1323.91,60.17,13.58,4.32,3.99,5.87,6.31,4.24,12.58,8.54,4.62,3.14,0,2.99,58.78,9.41,7,9.03,7,20,20,1.14,1.17,0.89,2.07
comida,5.46,5.99,13.02,2.23,10.74,3.16,11.87,2.71,4.28,4.56,15.14,9.6,6.41,24.52,951.84,51.62,12.03,3.47,3.22,4.99,5.28,3.74,11.72,7.42,5.29,3.46,0,2.1,51.05,7.97,7,8.19,7,20,18 two along bottom left; count confirmed,1.05,1.13,1.14,2.83
comida,4.28,5.39,11.02,1.88,8.54,3.6,8.91,2.8,3.56,4.24,13.56,7.59,5.12,19.76,695.79,43.14,10.45,2.56,1.74,2.81,3.61,2.18,8.91,5.82,3.97,2.75,0,0.97,42.74,6.75,7,6.81,7,19,16 three along bottom left behind; count confirmed,0.83,0.8,0.77,3.09
comida,4.98,5.67,14.25,2.14,10.14,4,10.98,3.42,4.53,5.15,16.25,9.68,6.28,24.55,1106.2,52.53,12.57,3.24,2.35,4.56,5,3.49,10.68,7.13,4.58,3.2,0,1.82,50.28,7.96,7,8.08,7,21,21,1.1,1.01,1.04,2.53
comida,4.86,5.46,12.07,1.69,8.99,2.42,9.89,2.47,3.22,4.66,13.26,8.72,5.56,22.93,909.57,49.17,9.81,3.02,2.96,3.89,4.78,2.93,11.51,8.08,4.14,2.61,0,1.58,49.17,7.44,8,7.53,9,20,17 three along roof of mouth left behind; count confirmed,0.75,0.73,0.66,2.97
comida,5.02,5.57,13.01,2.35,10.8,3.23,10.6,3.18,4.46,5.06,15.81,9.48,6.49,25.16,1058.07,50.49,11.69,3.07,2.1,3.68,4.78,2.71,10.31,6.96,4.34,2.83,0,1.62,50.01,8.09,8,8.03,8,18,15 three along bottom left; count confirmed,0.96,0.69,0.76,2.38
comida,3.27,4.56,10.39,1.39,7.54,2.72,9.34,2.16,3.36,4.05,13,7,5.21,19.45,710.78,45.65,9.77,2.75,2.46,3.91,4.54,2.92,9.71,7.05,3.56,2.57,0,1.2,44.62,6.49,7,6.77,7,22,22,0.71,0.64,0.71,3.6
comida,5.53,5.98,13.97,2.28,9.69,4.04,11.7,2.58,4.95,5.34,17.42,10.73,6.89,27.39,1331.34,57.7,11.52,3.6,3.56,5.09,5.58,3.65,10.23,6.84,4.86,3.41,0,2.28,55.93,8.21,7,8.56,8,21,19 two along bottom of mouth left behind; count confirmed,0.87,0.8,0.73,2.7
comida,2.97,3.94,7.45,1.47,6.45,2.48,7.44,1.11,2.82,3.28,10.44,4.68,3.63,13.41,304.13,36.06,7.64,2.25,2.05,2.99,2.96,1.68,6.94,4.03,3.22,2.19,0,0.55,35.14,5.61,6,5.62,7,18,18,0.65,0.62,0.52,4.45
comida,5.09,5.56,12.6,1.92,9.64,3.38,10.73,2.71,4.25,4.42,15.21,9.63,6.66,24.32,971.38,49.33,10.96,2.79,1.8,3.62,4.64,2.84,9.94,6.67,4.45,2.98,0,1.5,48.73,8.44,7,8.52,7,18,18,1.11,1.07,1.03,2.93
comida,4.99,5.67,14.24,2.45,10.02,3.53,11.13,2.92,4.69,5.15,16.08,8.91,6.68,23.98,1017.7,52.43,11.91,3.72,3.52,4.51,5.29,3.46,10.78,7.37,5.23,3.84,0,2.04,51.6,7.5,7,8.25,6,20,20,1.03,1,0.99,2.81
comida,5.69,7.41,14.56,2.4,11.34,4.3,13.1,3.14,4.48,5.83,17.97,NA,NA,NA,NA,57.96,13.11,4.13,3.32,5.5,5.76,3.81,11.96,8.63,4.45,2.96,0,2.81,57.01,9.7,7,9.74,7,21,21,0.93,0.82,0.63,2.28
comida,4.17,4.84,10.84,2.03,8.82,2.97,9.66,1.54,2.26,3.91,11.47,5.91,5.22,17.46,479.28,43.95,9.84,2.67,1.9,3.69,4.27,2.85,9.24,6.51,4.09,2.87,0,1.2,43.8,6.99,7,7.28,7,21,21,0.78,0.71,0.69,3.41
comida,6.59,7.09,16.1,2.74,12.35,4.19,14.82,4.22,6.67,6.34,21.31,13.12,7.42,31.89,1703.96,66.51,15.23,4.61,4.26,6.76,6.07,3.84,12.13,8.25,5.72,3.79,0,3.78,63.44,10.25,8,10.07,NA,21,21,1.33,1.31,1.14,2.44
comida,4.25,4.99,11.68,1.98,8.22,3.37,10.6,1.82,3.44,4.37,13.16,7.72,5.5,20.48,761,48.28,10.68,3.23,3.16,4.73,5.1,2.64,10.92,7.37,4.07,3,0,1.68,48.06,6.94,7,6.72,7,19,19,0.76,0.72,0.76,3
comida,4.2,4.95,8.88,1.65,7.53,2.63,8.54,1.96,3.17,3.5,12.11,6.99,4.23,17.65,494.57,41.99,9.33,2.64,2.04,3.34,3.69,2.27,8.78,5.79,3.61,2.57,0,0.85,40.78,5.75,6,6.84,6,21,21,0.67,0.79,0.61,3.25
comida,3.72,3.83,9.81,1.43,6.68,2.57,7.95,1.74,2.79,3.87,11.33,6.3,3.9,16.56,469.55,37.85,8.3,2.69,1.89,2.87,NA,1.61,6.58,4.58,3.26,2.47,0,0.62,36.98,5.65,6,5.9,6,20,20,0.74,0.7,0.76,3.85
comida,4.36,5.17,11.65,1.84,8.16,2.73,9.53,1.73,3.57,4.18,13.26,8.2,5.75,20.93,781.66,45.89,10.22,2.97,2.19,3.25,4.04,2.59,9.56,5.84,4.01,2.77,0,1.23,45.32,7.86,6,8.24,7,19,16 three along bottom left behind; count confirmed,0.81,0.79,0.72,3.37
comida,4.26,4.9,11.62,1.75,9.86,2.76,10.03,2.88,4.05,4.52,14.27,7.31,4.75,19.14,622.07,47.64,10.56,3.08,2.47,4.04,4.4,2.89,9.13,5.52,4.11,2.71,0,1.29,46.21,7.12,8,7.12,8,18,18,0.74,0.66,0.7,3.14
comida,5.44,6.93,16.03,2.48,10.26,3.62,12.62,3.46,5.14,5.96,18.47,11.24,7.36,28.6,1442.72,60.69,12.77,4.06,4,4.92,5.77,3.91,12.36,8.76,4.86,3.32,0,2.84,60.59,9.12,6,9.12,6,21,21,0.69,0.91,0.57,2.32
comida,6.07,7.86,14.6,2.69,10.31,2.64,12.58,2.5,4.38,5.64,16.55,11.37,7.81,28.98,1462.81,58.78,12.94,4.47,3.68,5.58,5.8,4.18,12.78,8.31,5.16,3.42,0,2.88,57.47,9.63,7,9.63,7,21,21,1,0.99,0.95,2.37
comida,3.67,4.63,9.89,1.66,7.87,2.69,8.68,1.9,2.86,3.97,11.57,4.26,4.12,14.68,357.19,41.73,9.17,2.57,2.1,3.6,3.91,2.5,8.14,5.47,3.86,2.82,0,0.92,40.96,4.89,7,6.22,7,21,21,0.77,0.8,0.85,3.5
comida,4.27,4.85,11.38,1.41,8.49,2.83,9,2.03,2.94,3.74,11.52,7.53,4.82,19.27,648.1,45.68,10.34,2.87,2.54,4.2,4.32,2.81,9.79,6.62,3.99,2.56,0,1.27,45.84,6.4,7,6.34,7,22,22,0.59,0.57,0.39,3.16
comida,3.54,4.14,8.66,1.49,6.26,1.79,7.54,1.44,2.29,3.61,10.52,6.62,3.6,16.59,477.2,37.52,9.12,2.27,2.07,3.03,3.49,1.97,8.21,5.2,3.18,2.36,0,0.71,38.17,6.23,6,5.56,6,24,24,0.7,0.63,0.74,4.16
comida,4.06,4.79,9,1.41,6.87,2.27,7.53,1.54,2.31,3.64,10.37,5.78,4.12,16.03,412.12,37.57,9.02,2.3,1.94,3.16,3.31,2.1,7.66,5.34,3.29,2.04,0,0.68,36.92,6.48,7,6.34,7,20,20,0.7,0.61,0.67,3.96
comida,4.58,5.07,11.59,1.64,7.92,2.83,9.15,2.01,2.82,4.13,12.03,7.59,5.04,20.36,580.21,44.16,9.87,2.89,2.37,3.37,3.97,2.12,9.93,6.26,4.34,2.95,0,1.17,44.31,6.78,8,7.04,7,17,17,0.59,0.65,0.56,3.21
comida,4,4.47,6.63,1.14,4.51,1.53,6.1,1.25,1.77,3.04,8.27,3.83,3.28,11.41,238.63,30.2,6.77,1.57,1.2,2.31,2.7,1.28,5.48,4.39,2.55,2.01,0,0.32,29.52,5.43,7,5.55,7,16,16,0.09,0.08,0.08,6.62
frederick,3.45,4.19,11.71,1.7,7.49,1.95,8.6,2.35,3.63,4.45,13.17,6.87,6.18,20.77,742.63,42.7,9.26,2.52,1.72,3.27,3.6,2.3,8.7,5.65,3.25,2.47,0,0.94,42.1,5.84,7,6.32,8,20,20,1.12,1.05,1.3,3.53
frederick,3.62,4.28,8.07,1.27,6.69,1.42,7.08,1.85,2.61,3.27,10.11,7.12,4.78,18.39,558.5,36.2,7.24,2.04,1.8,2.59,3.01,1.54,7.02,5.01,3.45,2.68,0,0.6,36.16,5.56,10,5.68,11,19,19,0.94,0.92,0.95,4.73
frederick,2.85,3.94,10.65,1.47,7.06,2.07,7.57,1.87,2.87,3.94,11.23,5.45,4.78,17.62,498.71,39.92,8.07,2.5,2.17,2.68,3.43,2.09,7.73,5.28,3.66,2.85,0,0.76,39.37,5.91,7,6.09,8,21,21,1.12,1.04,1.16,3.94
frederick,3.22,3.79,6.89,1.47,5.01,2.62,8.65,1.4,2.58,3.63,10.79,6.18,4.74,18.22,466.88,40.57,7.92,2.43,2.03,3.47,3.84,2.29,8.55,6.19,3.14,2.3,0,0.9,40.03,5.43,8,5.79,7,20,20,0.65,0.66,0.6,4.24
frederick,4.21,4.32,10.25,1.61,7.75,2.76,7.96,2.17,3.16,3.87,11.54,5.26,5.12,16.31,460.93,38.79,8.36,1.97,1.54,2.76,3.28,1.88,7.84,5.29,3.33,2.67,0,0.7,38.64,5.98,7,6.23,7,19,19,0.94,0.89,0.9,4.65
frederick,4.49,4.88,12.06,1.73,8.25,2.23,9.46,2.6,3.42,4.36,13.06,7.35,6.2,21.14,767.92,45.51,8.7,2.6,2.69,3.47,4.45,2.39,9.8,6.92,3.89,3.02,0,1.22,44.95,7.48,6,7.69,6,20,18 two along bottom left behind; count confirmed,1.13,1.15,1.04,3.68
frederick,3.27,4.21,10.71,1.35,8.14,2.96,8.21,2.2,3.4,4.34,12.11,5.62,4.39,16.72,444.17,41.34,9.13,2.27,1.97,3.24,3.59,1.99,8.36,5.58,3.52,2.59,0,0.8,41.15,5.95,8,6.22,8,20,20,1.03,0.81,0.98,4.5
frederick,3.93,4.52,10.57,1.47,8.65,2.6,7.72,1.83,3.21,3.61,11.53,5.08,5.39,16.61,454.71,39.16,8.17,2.43,1.75,2.67,3.08,1.96,7.68,5.08,3.53,2.59,0,0.74,38.94,5.92,8,6.12,7,20,20,1.07,1,0.78,3.95
frederick,3.05,3.95,10.48,1.5,8.24,2.29,8.16,2.21,3.26,4,11.97,5.73,5.02,17.49,560.12,40.84,8.56,2.59,2.38,2.98,3.64,1.96,8.12,5.82,3.62,2.79,0,0.84,40.52,6.2,7,6.04,8,18,9 see Note1,0.57,0.49,0.3,4.15
frederick,3.14,3.76,8.95,1.38,7.1,1.96,7.62,1.63,2.68,3.49,10.33,4.6,3.79,14.01,303.55,38.03,6.99,1.87,1.88,2.92,3.15,1.94,8.28,5.89,3.06,2.13,0,0.65,38,5.68,7,5.7,8,22,20 two along top left behind; count confirmed,0.89,0.85,0.71,4.71
frederick,3.2,3.96,10.42,1.62,7.58,2.86,8.11,2.4,3.3,4.18,12.11,4.65,4.38,14.36,369.87,40.26,8.22,2.58,2.25,3.13,3.62,2.16,7.62,5.62,3.68,2.68,0,0.82,40.13,6.07,7,6.33,8,20,17 three along bottom left behind; count confirmed,1,0.96,0.95,3.95
frederick,4.84,5.66,12.99,1.82,9.28,3.1,9.83,2.79,4.45,4.73,15.18,8.04,6,22.23,798.55,49.31,10.68,2.79,2.14,3.83,4.25,2.74,10.01,6.74,3.68,2.73,0,1.29,48.93,8.36,7,8.19,7,20,20,1.32,1.27,1.23,2.99
frederick,4.46,4.64,12.82,1.51,9.29,1.68,8.45,2.53,3.37,4.33,12.73,6.36,6.36,20.06,719.76,43.71,9.08,2.4,1.41,2.73,3.61,1.87,9.03,6.12,2.82,2.19,0,0.83,43.35,7.09,7,7.3,8,19,17 two along top left behind; count confirmed,1.23,0.98,1,3.82
frederick,2.86,3.56,9.23,1.37,6.99,2.74,7.37,1.96,2.68,3.7,10.86,5.49,4.17,15.7,459.07,37.68,7.71,1.93,1.26,2.88,3.01,1.62,7.11,4.66,2.97,1.96,0,0.62,37.63,5.33,7,5.54,8,21,21,0.95,0.91,0.89,4.12
frederick,2.75,3.6,8.16,1.4,5.53,1.88,6.8,1.07,2.09,3.32,9.36,5.47,3.49,14.96,317.28,34.94,6.92,1.96,1.37,2.62,3.04,1.58,6.12,4.88,2.71,1.98,0,0.54,34.72,4.84,7,5.2,8,17,17,0.69,0.7,0.73,4.95
frederick,2.93,3.76,9.37,1.49,6.89,1.81,7.86,2.1,3.27,3.94,11.89,6.32,4.81,18.05,504.9,39.81,8.1,2.14,1.42,2.8,3.48,1.62,6.92,5.14,2.69,2.2,0,0.67,39.16,5.58,7,5.5,8,18,18,0.91,0.85,0.86,3.95
frederick,2.78,3.11,7.32,1.14,4.67,2.28,7.04,2.08,2.55,3.92,9.87,3.84,3.89,13.59,350.75,34.39,7.24,1.57,1.59,2.5,2.92,1.8,5.37,4.71,2.52,2.05,0,0.53,34.74,4.62,6,4.61,6,21,21,0.73,0.71,0.61,4.68
frederick,3.07,3.93,9.51,1.64,7.17,2.96,7.57,2.02,2.88,3.79,10.93,5.31,5.23,17.53,538.93,38.97,8.42,2.41,1.9,2.74,3.16,1.9,8.13,5.34,3,2.39,0,0.71,38.6,5.97,8,6.08,8,21,21,0.88,1.07,0.77,4.45
frederick,4.05,4.16,10.71,1.64,7.88,2.15,8.05,2.53,3.6,4.04,12.35,4.46,4.59,15.96,417.8,41.96,9.28,2.55,1.5,2.86,3.62,2.26,8.28,5.99,3.32,2.49,0,0.84,41.66,6.41,8,6.33,8,19,19,0.9,0.78,0.79,3.64
frederick,4.68,5.45,14.32,1.86,9.75,3,9.39,2.32,3.98,4.62,14.01,6.5,6.07,20.33,715,48.25,9.71,2.67,2,2.93,4.12,2.95,10.42,7.36,3.49,2.51,0,1.12,47.52,8.04,9,7.84,8,19,15 four along bottom left behind; count confirmed,1.29,1.33,1.31,3.2
frederick,4.32,4.72,12.06,1.56,9.31,2.89,9.19,2.19,3.22,4.32,12.4,5.69,5.15,17.54,566.86,47.47,8.32,2.61,2.26,4.29,4.54,2.81,9.45,6.7,4,3.03,0,1.33,46.9,6.5,7,6.75,8,20,20,1,0.91,1.02,3.39
frederick,4.55,4.84,11.79,1.8,9.15,2.42,8.46,2.51,3.76,4.42,13.41,6.92,6.24,20.24,725.61,44.85,9.08,2.64,2.2,3.3,3.64,2.18,9.01,6.16,3.27,2.21,0,0.9,43.16,6.72,8,6.68,8,20,16 four along bottom left behind; count confirmed,1.14,1.22,1.2,3.75
frederick,3.4,3.86,9.69,1.56,7.33,2.25,6.91,1.92,2.81,3.46,10.9,5.16,4.82,16.57,442.45,37.7,7.65,2.21,1.39,2.33,3.08,2,7.38,5.1,3.15,2.38,0,0.6,37.87,5.56,8,5.09,8,19,19,1.03,0.95,1.09,4.06
frederick,4.62,5.68,12.84,1.63,8.08,2.04,9.47,2.35,3.32,4.41,13.18,6.56,6.54,21.04,789.64,48.45,9.67,2.43,1.78,3.15,4.42,2.72,10.61,7.28,3.46,2.55,0,1.28,48.79,8.39,8,8.25,8,20,17 three along bottom left behind; count confirmed,1.32,1.2,1.25,3.3
frederick,3.5,3.93,9.92,1.29,7.49,2.29,7.5,1.51,3.01,3.66,10.73,5.57,5.05,16.34,506.09,37.58,8.26,2.28,1.49,2.65,3.07,1.86,6.75,4.56,3.19,2.41,0,0.63,37.28,4.83,7,5.42,7,21,21,0.93,0.78,0.88,4.27
frederick,3.26,4.13,12.9,1.5,7.25,2.08,7.76,2.45,3.37,3.86,11.74,6.22,4.94,17.67,540.27,39.11,8.37,2.13,1.33,2.46,3.15,2.09,7.53,5.34,2.73,1.85,0,0.63,39.09,5.53,7,5.72,6,20,18 two along bottom left; count confirmed,1.09,1.03,1.04,4.23
frederick,3.16,3.68,8.97,1.67,7.51,2.38,7.45,2.51,2.95,3.9,11.26,4.11,4.84,16.06,391.98,37.88,7.87,2.49,2.29,2.64,3.46,1.74,6.56,4.65,3.57,2.65,0,0.65,37.34,5.03,7,4.89,7,19,19,0.68,0.74,0.77,3.93
frederick,3.39,3.89,9.94,1.33,7.6,2.57,7.83,2.2,3.48,4.03,12.28,7.33,5.1,19.67,679.94,40.33,9.6,3.02,2.69,3.22,3.56,2.13,7,5.37,3.43,2.66,0,0.77,40.02,5.5,6,5.49,7,19,19,0.84,0.78,0.88,4.06
frederick,3.07,3.22,10.36,1.42,7.65,2.14,7.14,1.78,3.02,4.15,11.4,4.03,3.61,13.47,298.26,38.3,8.35,2.31,1.82,2.68,3.23,1.92,7.35,5.17,2.93,2.04,0,0.63,38.35,5.35,8,5.2,8,21,21,1.03,0.8,0.9,4.3
frederick,3.9,4.08,11.67,1.4,8.5,2.28,8.24,2.45,3.35,4.53,12.84,6.29,5.75,19.36,558.22,43.76,8.65,2.24,1.91,2.73,3.46,2.04,8.03,5.79,3.48,2.34,0,0.9,43.19,6.27,8,6.36,8,20,20,1.13,1.13,1.18,3.6
frederick,3.99,4.16,10.92,1.48,7.49,2.3,8.49,2.06,3.37,4.28,12.34,7.7,5.46,20.61,677.54,41.25,8.82,2.22,1.71,3.14,3.54,2.22,7.76,5,3.42,2.62,0,0.8,40.28,6.45,8,6.52,7,19,17 two along top left behind; count confirmed,1.12,1.05,1.07,4.34
frederick,2.97,3.53,9.18,1.5,6.67,2.21,7.98,1.9,3.23,3.84,11.69,5.6,4.89,17.08,529.47,38.71,8.97,2.44,1.99,2.68,3.33,1.75,7.66,5.76,3.44,2.53,0,0.72,38.34,5.03,6,5.07,6,21,21,0.93,0.91,0.9,4.2
frederick,4.06,4.57,11.29,1.5,8.92,1.89,8.68,2.32,3.19,4.57,12.57,6.98,6.09,19.9,698.89,42.9,8.91,2.31,1.81,2.99,3.35,1.95,8.29,5.41,3.36,2.32,0,0.86,42.94,6.33,8,6.35,8,20,18 two along bottom left behind; count confirmed,1.26,1.14,1.28,3.51
frederick,3.7,4.31,12.03,1.58,9.28,2.45,9.18,2.32,3.45,4.26,12.59,7.45,5.24,20.88,736.93,45.12,8.94,2.57,2.2,4.2,4.44,2.07,8.22,6.21,3.93,2.57,0,1.3,44.46,6.65,7,6.58,7,22,22,1.16,1.17,1.23,4.02
frederick,4.43,4.88,12.23,1.86,8.82,2.47,9.36,2.38,3.44,4.51,13.15,6.81,6.11,20.57,695.16,46.92,9.74,2.53,2.03,3.89,3.86,2.29,9.64,6.45,3.29,2.49,0,1.1,45.94,6.95,8,7.07,8,20,20,1.24,1.26,1.2,3.36
frederick,3.2,3.39,9.21,1.33,6.87,2.01,7.61,2.22,2.81,3.84,10.77,5.29,4.22,16.07,395.68,37.53,7.58,2.19,1.88,2.72,2.97,1.66,7,4.63,3.36,2.28,0,0.62,37.64,5.37,7,5.06,8,20,20,0.92,0.85,0.82,4.6
frederick,3.85,4.43,9.2,1.48,6.92,1.97,7.27,2.04,3.1,3.53,11.23,5.86,4.08,16.71,498.71,37.38,7.66,2.05,1.98,2.38,3.46,1.46,7.3,5.08,3.38,2.6,0,0.65,37.07,5.99,9,6.3,10,19,17 two along bottom left behid; count confirmed,0.94,0.91,0.86,4.01
frederick,4.17,4.76,12.47,1.82,9.74,2.82,8.84,2.86,4.05,4.4,13.83,6.21,6.91,20.25,686.58,46.71,10.4,2.56,1.75,3.18,3.81,2.52,8.95,6.3,3.54,2.29,0,1.11,46.68,6.78,8,7.04,8,20,18 two along bottom left behid; count confirmed,1.13,1.15,1.17,3.42
frederick,3.02,3.78,9.07,1.45,6.82,2.38,7.28,1.99,2.58,3.53,10.73,4.81,4.08,14.83,351.13,36.6,7.88,2.05,1.54,2.26,2.76,1.7,7.11,4.97,3.13,2.18,0,0.6,36.42,5.19,8,5.4,7,21,21,0.87,0.81,0.84,4.7
frederick,3.26,3.94,9.36,1.53,8.45,2.69,8.01,2.63,2.93,4.06,11.4,6.29,5.56,18.34,544.66,39.02,8.44,2.36,1.94,2.66,3.32,1.96,7.58,5.1,3.15,2.54,0,0.72,38.58,5.78,8,5.84,8,22,22,1,0.97,1.03,3.97
joe,4.3,5.57,12.16,2.01,8.78,2.94,10,2.1,3,3.77,12.13,6.54,5.91,19.93,667.22,45.06,8.43,2.2,1.93,3.24,4,2.23,9.35,6.53,3.48,2.23,0,1.17,44.49,8.14,6,7.92,6,13,13,0.75,0.65,0.58,3.56
joe,4.83,5.47,12.58,2.07,8.74,2.83,10.78,2.45,3.59,3.98,13.62,7.03,6.38,21.03,875.88,47.16,9.41,2.46,2.39,4.14,4.6,2.79,9.2,6.7,3.93,2.44,0,1.38,46.57,7.74,6,7.9,7,19,19,1.16,1.04,1.02,3
joe,3.63,4.26,8.71,1.49,5.78,2.35,8.24,1.7,2.32,3.74,10.76,5.64,5.12,17.35,529.24,37.73,7.82,2.24,1.83,2.53,3.26,1.74,7.31,5.02,3.24,2.33,0,6.35,37.18,6.3,6,6.34,7,18,18,0.9,0.82,0.88,3.89
joe,4.24,4.87,10.4,1.48,7.26,2.48,8.12,1.81,2.44,3.65,10.71,5.81,4.75,16.87,462.67,38.82,7.89,1.85,1.62,2.78,3.49,1.92,7.79,5.13,3.2,2.38,0,0.69,38.55,6.75,7,6.93,7,17,17,0.75,0.81,0.87,3.7
joe,7.48,7.86,16.45,3.07,13.48,3.54,14.59,3.7,5.59,5.92,19.75,10.04,9.28,29.91,1650.44,64.92,14.57,4.04,2.85,5.37,6.35,4.01,14.43,9.68,6.12,4.01,0,7.9,63.14,10.76,7,10.99,6,19,19,2.19,2.02,1.54,1.76
joe,4.25,4.74,6.85,1.47,7.51,2.16,8.39,1.75,2.49,3.97,10.86,6.29,4.9,17.44,587.15,37.79,7.98,1.9,1.74,2.87,3.37,2.1,7.9,5.02,3.37,2.47,0,0.71,37.37,6.73,8,6.87,7,19,,0.65,0.72,0.66,4.33
joe,3.66,4.23,8.02,1.45,6.67,2,7.35,1.85,2.45,3.74,9.91,5.27,4.99,16.52,470.96,33.77,7.31,1.92,1.51,2.51,3.02,1.88,6.57,4.29,2.78,1.82,0,0.47,33.46,6.58,7,6.36,7,18,18,0.81,0.63,0.75,4.25
joe,7.38,7.72,18.21,3.07,15.68,3.54,15.12,3.35,6.01,5.77,20.74,11.1,9.06,30.92,1781.37,68.55,14.81,3.64,2.39,5.89,6.41,4.68,14.04,9.39,6.1,3.64,0,4.28,66.67,10.39,6,11.14,6,18,18,1.73,1.85,1.85,2.2
joe,7.25,7.92,18.55,2.91,13.88,3.99,14.91,3.59,5.73,5.65,20.1,11.31,8.94,31.2,1932.24,67.13,14.97,3.66,3.04,6.09,6.52,4.72,13.63,9.37,6.09,4.18,0,4.07,66.18,10.89,7,9.81,7,19,19,1.77,1.77,1.72,1.99
